"filename", "language", "Dart", "SQL", "comment", "blank", "total"
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/account_menu_button.dart", "Dart", 50, 0, 2, 6, 58
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/add_goal_button.dart", "Dart", 24, 0, 1, 5, 30
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/back_and_next_buttons.dart", "Dart", 41, 0, 0, 4, 45
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/confirmation_window.dart", "Dart", 37, 0, 0, 8, 45
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/edit_delete_goal_popup.dart", "Dart", 164, 0, 0, 24, 188
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/goal_box.dart", "Dart", 103, 0, 1, 11, 115
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/goal_screen.dart", "Dart", 53, 0, 0, 6, 59
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/horizontal_progress_bar.dart", "Dart", 33, 0, 0, 4, 37
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/large_completed_goal_menu_button.dart", "Dart", 100, 0, 0, 13, 113
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/large_goal_menu_button.dart", "Dart", 117, 0, 0, 14, 131
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/loading_indicator.dart", "Dart", 39, 0, 0, 4, 43
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/main_app_menu_button.dart", "Dart", 40, 0, 2, 10, 52
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/modify_notification_popup.dart", "Dart", 132, 0, 81, 24, 237
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/number_wheel_selector.dart", "Dart", 37, 0, 0, 3, 40
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/screen_tracker_indicators.dart", "Dart", 34, 0, 0, 5, 39
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/text_popup_menu.dart", "Dart", 35, 0, 0, 2, 37
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/Widgets/track_goal_popup.dart", "Dart", 173, 0, 0, 23, 196
"/Users/davis/Desktop/SeniorProject/micro_calendar/lib/main.dart", "Dart", 116, 0, 1, 21, 138
"Total", "-", 5614, 109, 153, 728, 6604
